indicator,date,rate
close,2021-12-03 19:07:00,161.32
open,2021-12-03 19:06:00,161.38
high,2021-12-03 19:06:00,161.38
low,2021-12-03 19:06:00,161.35
close,2021-12-03 19:06:00,161.35
open,2021-12-03 19:05:00,161.4
high,2021-12-03 19:05:00,161.4
low,2021-12-03 19:05:00,161.4
close,2021-12-03 19:05:00,161.4
open,2021-12-03 19:04:00,161.4
high,2021-12-03 19:04:00,161.4
low,2021-12-03 19:04:00,161.4
close,2021-12-03 19:04:00,161.4
open,2021-12-03 19:01:00,161.38
high,2021-12-03 19:01:00,161.38
low,2021-12-03 19:01:00,161.35
close,2021-12-03 19:01:00,161.38
open,2021-12-03 19:00:00,161.38
high,2021-12-03 19:00:00,161.38
low,2021-12-03 19:00:00,161.37
close,2021-12-03 19:00:00,161.37
open,2021-12-03 18:59:00,161.42
high,2021-12-03 18:59:00,161.42
low,2021-12-03 18:59:00,161.38
close,2021-12-03 18:59:00,161.38
open,2021-12-03 18:57:00,161.48
high,2021-12-03 18:57:00,161.48
low,2021-12-03 18:57:00,161.37
close,2021-12-03 18:57:00,161.37
open,2021-12-03 18:55:00,161.46
high,2021-12-03 18:55:00,161.46
low,2021-12-03 18:55:00,161.43
close,2021-12-03 18:55:00,161.43
open,2021-12-03 18:53:00,161.4
high,2021-12-03 18:53:00,161.4
low,2021-12-03 18:53:00,161.4
close,2021-12-03 18:53:00,161.4
open,2021-12-03 18:51:00,161.5
high,2021-12-03 18:51:00,161.5
low,2021-12-03 18:51:00,161.5
close,2021-12-03 18:51:00,161.5
open,2021-12-03 18:50:00,161.42
high,2021-12-03 18:50:00,161.5
low,2021-12-03 18:50:00,161.42
close,2021-12-03 18:50:00,161.5
open,2021-12-03 18:49:00,161.49
high,2021-12-03 18:49:00,161.49
low,2021-12-03 18:49:00,161.49
close,2021-12-03 18:49:00,161.49
open,2021-12-03 18:48:00,161.44
high,2021-12-03 18:48:00,161.45
low,2021-12-03 18:48:00,161.44
close,2021-12-03 18:48:00,161.45
open,2021-12-03 18:46:00,161.41
high,2021-12-03 18:46:00,161.5
low,2021-12-03 18:46:00,161.4
close,2021-12-03 18:46:00,161.5
open,2021-12-03 18:45:00,161.5
high,2021-12-03 18:45:00,161.5
low,2021-12-03 18:45:00,161.5
close,2021-12-03 18:45:00,161.5
open,2021-12-03 18:44:00,161.42
high,2021-12-03 18:44:00,161.5
low,2021-12-03 18:44:00,161.42
close,2021-12-03 18:44:00,161.5
open,2021-12-03 18:42:00,161.5
high,2021-12-03 18:42:00,161.5
low,2021-12-03 18:42:00,161.5
close,2021-12-03 18:42:00,161.5
open,2021-12-03 18:41:00,161.5
high,2021-12-03 18:41:00,161.5
low,2021-12-03 18:41:00,161.5
close,2021-12-03 18:41:00,161.5
open,2021-12-03 18:38:00,161.5
high,2021-12-03 18:38:00,161.54
low,2021-12-03 18:38:00,161.5
close,2021-12-03 18:38:00,161.54
open,2021-12-03 18:36:00,161.54
high,2021-12-03 18:36:00,161.54
low,2021-12-03 18:36:00,161.5
close,2021-12-03 18:36:00,161.5
open,2021-12-03 18:35:00,161.54
high,2021-12-03 18:35:00,161.54
low,2021-12-03 18:35:00,161.54
close,2021-12-03 18:35:00,161.54
open,2021-12-03 18:34:00,161.54
high,2021-12-03 18:34:00,161.54
low,2021-12-03 18:34:00,161.54
close,2021-12-03 18:34:00,161.54
open,2021-12-03 18:33:00,161.55
high,2021-12-03 18:33:00,161.55
low,2021-12-03 18:33:00,161.55
close,2021-12-03 18:33:00,161.55
open,2021-12-03 18:32:00,161.55
high,2021-12-03 18:32:00,161.55
low,2021-12-03 18:32:00,161.55
close,2021-12-03 18:32:00,161.55
open,2021-12-03 18:31:00,161.56
high,2021-12-03 18:31:00,161.56
low,2021-12-03 18:31:00,161.54
close,2021-12-03 18:31:00,161.54
open,2021-12-03 18:30:00,161.54
high,2021-12-03 18:30:00,161.55
low,2021-12-03 18:30:00,161.54
close,2021-12-03 18:30:00,161.54
open,2021-12-03 18:26:00,161.5
high,2021-12-03 18:26:00,161.5
low,2021-12-03 18:26:00,161.5
close,2021-12-03 18:26:00,161.5
open,2021-12-03 18:25:00,161.49
high,2021-12-03 18:25:00,161.5
low,2021-12-03 18:25:00,161.49
close,2021-12-03 18:25:00,161.5
open,2021-12-03 18:24:00,161.5
high,2021-12-03 18:24:00,161.5
low,2021-12-03 18:24:00,161.5
close,2021-12-03 18:24:00,161.5
open,2021-12-03 18:23:00,161.5
high,2021-12-03 18:23:00,161.5
low,2021-12-03 18:23:00,161.5
close,2021-12-03 18:23:00,161.5
open,2021-12-03 18:22:00,161.5
high,2021-12-03 18:22:00,161.5
low,2021-12-03 18:22:00,161.5
close,2021-12-03 18:22:00,161.5
open,2021-12-03 18:21:00,161.55
high,2021-12-03 18:21:00,161.55
low,2021-12-03 18:21:00,161.55
close,2021-12-03 18:21:00,161.55
open,2021-12-03 18:19:00,161.5
high,2021-12-03 18:19:00,161.5
low,2021-12-03 18:19:00,161.5
close,2021-12-03 18:19:00,161.5
open,2021-12-03 18:17:00,161.45
high,2021-12-03 18:17:00,161.45
low,2021-12-03 18:17:00,161.45
close,2021-12-03 18:17:00,161.45
open,2021-12-03 18:16:00,161.45
high,2021-12-03 18:16:00,161.45
low,2021-12-03 18:16:00,161.45
close,2021-12-03 18:16:00,161.45
open,2021-12-03 18:13:00,161.4
high,2021-12-03 18:13:00,161.5
low,2021-12-03 18:13:00,161.4
close,2021-12-03 18:13:00,161.5
open,2021-12-03 18:12:00,161.42
high,2021-12-03 18:12:00,161.42
low,2021-12-03 18:12:00,161.4
close,2021-12-03 18:12:00,161.4
open,2021-12-03 18:11:00,161.5
high,2021-12-03 18:11:00,161.5
low,2021-12-03 18:11:00,161.43
close,2021-12-03 18:11:00,161.5
open,2021-12-03 18:10:00,161.5
high,2021-12-03 18:10:00,161.55
low,2021-12-03 18:10:00,161.5
close,2021-12-03 18:10:00,161.5
open,2021-12-03 18:09:00,161.5001
high,2021-12-03 18:09:00,161.5001
low,2021-12-03 18:09:00,161.43
close,2021-12-03 18:09:00,161.43
open,2021-12-03 18:08:00,161.55
high,2021-12-03 18:08:00,161.55
low,2021-12-03 18:08:00,161.5
close,2021-12-03 18:08:00,161.5
open,2021-12-03 18:07:00,161.51
high,2021-12-03 18:07:00,161.51
low,2021-12-03 18:07:00,161.51
close,2021-12-03 18:07:00,161.51
open,2021-12-03 18:06:00,161.5
high,2021-12-03 18:06:00,161.5
low,2021-12-03 18:06:00,161.5
close,2021-12-03 18:06:00,161.5
open,2021-12-03 18:03:00,161.5
high,2021-12-03 18:03:00,161.5
low,2021-12-03 18:03:00,161.5
close,2021-12-03 18:03:00,161.5
open,2021-12-03 18:02:00,161.55
high,2021-12-03 18:02:00,161.55
low,2021-12-03 18:02:00,161.55
close,2021-12-03 18:02:00,161.55
open,2021-12-03 18:00:00,161.43
high,2021-12-03 18:00:00,161.43
low,2021-12-03 18:00:00,161.43
close,2021-12-03 18:00:00,161.43
open,2021-12-03 17:59:00,161.5
high,2021-12-03 17:59:00,161.5
low,2021-12-03 17:59:00,161.5
close,2021-12-03 17:59:00,161.5
open,2021-12-03 17:58:00,161.55
high,2021-12-03 17:58:00,161.55
low,2021-12-03 17:58:00,161.55
close,2021-12-03 17:58:00,161.55
open,2021-12-03 17:55:00,161.5
high,2021-12-03 17:55:00,161.5
low,2021-12-03 17:55:00,161.5
close,2021-12-03 17:55:00,161.5
open,2021-12-03 17:54:00,161.5
high,2021-12-03 17:54:00,161.5
low,2021-12-03 17:54:00,161.5
close,2021-12-03 17:54:00,161.5
open,2021-12-03 17:53:00,161.52
high,2021-12-03 17:53:00,161.52
low,2021-12-03 17:53:00,161.5
close,2021-12-03 17:53:00,161.5
open,2021-12-03 17:52:00,161.47
high,2021-12-03 17:52:00,161.5
low,2021-12-03 17:52:00,161.47
close,2021-12-03 17:52:00,161.5
open,2021-12-03 17:51:00,161.47
high,2021-12-03 17:51:00,161.47
low,2021-12-03 17:51:00,161.47
close,2021-12-03 17:51:00,161.47
open,2021-12-03 17:49:00,161.5
high,2021-12-03 17:49:00,161.52
low,2021-12-03 17:49:00,161.5
close,2021-12-03 17:49:00,161.52
open,2021-12-03 17:48:00,161.43
high,2021-12-03 17:48:00,161.5
low,2021-12-03 17:48:00,161.42
close,2021-12-03 17:48:00,161.5
open,2021-12-03 17:47:00,161.46
high,2021-12-03 17:47:00,161.46
low,2021-12-03 17:47:00,161.46
close,2021-12-03 17:47:00,161.46
open,2021-12-03 17:46:00,161.52
high,2021-12-03 17:46:00,161.52
low,2021-12-03 17:46:00,161.44
close,2021-12-03 17:46:00,161.44
open,2021-12-03 17:45:00,161.53
high,2021-12-03 17:45:00,161.84
low,2021-12-03 17:45:00,161.53
close,2021-12-03 17:45:00,161.53
